timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
298771571,298770267,20740449,41.1790081,-8.6036451,0.56734884,2.067762,-1.0606558,0.00023569915,-0.0010364398,-6.15716e-05,-0.013113342,0.01697346,0.04010616,0.06408117,0.0054122694,-0.00391737,-0.021185223,0.07302933,-0.618327,0.14285333,0.19365332,0.0086743,108.99439,0.09374702,0.32588494,0.30740082,0.13480848,0.09556094,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
298871519,298870220,20740449,41.1790081,-8.6036451,0.56338453,2.0688775,-1.0555362,0.00023569915,-0.0010364398,-6.15716e-05,-0.015994973,0.01662282,0.038783252,0.061596967,0.0054122694,-0.00391737,-0.021185223,-0.46528235,-1.1982985,-0.65844864,0.1938498,0.0086743,108.99439,0.09071159,0.33408123,0.3114717,0.13925433,0.09703453,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
298971341,298970165,20740449,41.1790081,-8.6036451,0.55996186,2.0702589,-1.05112,0.00023569915,-0.0010364398,-6.15716e-05,-0.015438035,0.022460448,0.03722837,0.05830697,0.0054122694,-0.00391737,-0.021185223,0.20013028,0.69273144,-0.8454284,0.19404815,0.0086743,108.99439,0.09072316,0.32599682,0.3073896,0.13485695,0.095564,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
299071309,299070114,20740449,41.1790081,-8.6036451,0.55684674,2.0717576,-1.0474349,0.00023569915,-0.0010364398,-6.15716e-05,-0.010980273,0.020944772,0.04156905,0.060433418,0.0054122694,-0.00391737,-0.021185223,0.7547968,0.53815544,1.1233752,0.19422299,0.0086743,108.99439,0.087341905,0.3341964,0.31146058,0.13930602,0.0970383,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
299171241,299170064,20740449,41.1790081,-8.6036451,0.55371517,2.073344,-1.0443746,0.00023569915,-0.0010364398,-6.15716e-05,-0.012960603,0.021489821,0.040721443,0.057117395,0.0054122694,-0.00391737,-0.021185223,0.62926924,-0.2421731,0.5699238,0.19437943,0.0086743,108.99439,0.09379482,0.32603654,0.30735424,0.13480824,0.09555096,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
299271151,299270020,20740449,41.1790081,-8.6036451,0.5490569,2.0738933,-1.0397147,0.00023569915,-0.0010364398,-6.15716e-05,-0.01580752,0.021450365,0.03740936,0.053055327,0.0054122694,-0.00391737,-0.021185223,-0.5657828,0.5754246,-0.063557275,0.19461201,0.0086743,108.99439,0.08948934,0.33423105,0.31142423,0.13925257,0.09702479,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
299371073,299369961,20740449,41.1790081,-8.6036451,0.5456926,2.0747302,-1.0358986,0.00023569915,-0.0010364398,-6.15716e-05,-0.017847942,0.020437242,0.037092812,0.051171623,0.0054122694,-0.00391737,-0.021185223,-0.27579814,-0.49036506,-0.8580931,0.19465367,0.0086743,108.99439,0.0894084,0.32613212,0.3073458,0.1348622,0.09555579,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
299470988,299469911,20740449,41.1790081,-8.6036451,0.54379267,2.0755854,-1.032694,0.00023569915,-0.0010364398,-6.15716e-05,-0.0152624715,0.022574393,0.03789671,0.050025344,0.0054122694,-0.00391737,-0.021185223,-0.12651461,0.5584353,0.107605316,0.19466034,0.0086743,108.99439,0.08676493,0.33432958,0.31141615,0.13930649,0.09702967,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
299570995,299569860,20740449,41.1790081,-8.6036451,0.5420786,2.0767643,-1.0305402,0.00023569915,-0.0010364398,-6.15716e-05,-0.010054128,0.017735336,0.041343655,0.05077324,0.0054122694,-0.00391737,-0.021185223,0.59456104,-1.40291,0.580127,0.19457708,0.0086743,108.99439,0.088930964,0.32609698,0.3073133,0.1348129,0.095543794,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
299670959,299669809,20740449,41.1790081,-8.6036451,0.5398488,2.0778263,-1.027578,0.00023569915,-0.0010364398,-6.15716e-05,-0.012331299,0.022676822,0.038270008,0.046106648,0.0054122694,-0.00391737,-0.021185223,-0.46395767,0.20468311,-0.17620322,0.19458914,0.0086743,108.99439,0.09088051,0.33428788,0.3113828,0.13924137,0.0970178,inf,inf,inf,inf,1,1,1,1,2,2,2,2,2,0,1,1,0,0,0
